tag,generic,japanese,german,soviet
QIG,,,,
QIN,,,,
R-U,ルアンダ＝ウルンディ,,,
REU,,,,
RHI,,,,
RHO,,,,
RIF,,,,
RIL,,,,
RKH,,,,
RME,,,,
RMT,,,,
ROM,,,,
RTN,,,,
RUS,,,,
RWA,,,,
RYU,,,,
SAB,北ボルネオ,,,
SAC,,,,
SAF,,,,
SAM,,,,
SAR,,,,
SAU,,,,
SAX,,,,
SAZ,,,,
SBL,,,,
SCA,,,,
SCC,,,,
SCH,,,,
SCO,,,,
SCR,,,,
SCZ,,,,
SDA,,,,
SDT,,,,
SEN,,,,
SER,,,,
SGH,,,,
SGR,,,,
SHA,,,,
SHD,,,,
SHL,,,,
SHN,,,,
SHX,,,,
SIA,,,,
SIB,,,,
SIC,,,,
SID,,,,
SIE,,,,
SIK,,,,
SIL,,,,
SIN,,,,
SKH,,,,
SKM,,,,
SKN,,,,
SLA,,,,
SLC,,,,
SLN,,,,
SLO,,,,
SLV,,,,
SLZ,,,,
SMA,,,,
SME,,,,
SML,,,,
SMO,,,,
SMR,,,,
SOA,,,,
SOL,,,,
SOM,,,,
SOV,,,,
SPM,サンピエル島及びミクロン島,,,
SPR,,,,
SRD,,,,
SRL,セイロン,,,
SRW,,,,
SSD,,,,
STH,,,,
STM,,,,
STP,,,,
STR,,,,
STY,,,,
SUD,,,,
SUR,ギアナ,,,
SUY,,,,
SVG,,,,
SWE,,,,
SWI,,,,
SWL,,,,
SYC,,,,
SYE,,,,
SYR,,,,
TAH,,,,
TAI,,,,
TAJ,,,,
TAN,,,,
TAT,,,,
TAY,,,,
TCA,,,,
TEN,,,,
TER,,,,
TEX,,,,
TGE,,,,
TIB,,,,
TIE,,,,
TIG,,,,
TKL,,,,
TLS,ティモール,,,
TMS,,,,
TNG,,,,
TOB,,,,
TOG,トーゴランド,,,
TOK,,,,
TON,,,,
TRA,,,,
TRC,,,,
TRI,,,,
TRK,,,,
TRL,,,,
TRN,,,,
TRP,,,,
TRV,,,,
TSK,,,,
TUN,,,,
TUR,,,,
TUS,,,,
TUV,,,,
TVL,エリス諸島,,,
TWN,,,,
TYU,,,,
TZN,,,,
UAS,,,,
UDM,,,,
UGA,,,,
UKR,,,,
ULY,,,,
URA,,,,
URG,,,,
USA,,,,
UTA,,,,
UVF,ウォリス・フツナ,,,
UZB,,,,
VAL,,,,
VAT,,,,
VAX,,,,
VEN,,,,
VIE,,,,
VIN,,,,
VIR,,,,
VLA,,,,
VLG,,,,
VNC,,,,
VOJ,,,,
VOL,,,,
VOR,,,,
VOS,,,,
VRG,,,,
VRM,,,,
VUT,ニューヘブリディーズ,,,
WAF,,,,
WAS,,,,
WES,サハラ,,,
WGR,,,,
WIN,,,,
WIW,,,,
WLC,,,,
WLL,,,,
WLS,,,,
WSC,,,,
WTG,トーゴランド,,,
WTR,,,,
WUR,,,,
WVI,,,,
WYO,,,,
XIB,,,,
XIK,,,,
XIZ,,,,
YAM,,,,
YEM,,,,
YGR,,,,
YUG,,,,
YUN,,,,
ZAM,北ローデシア,,,
ZAN,,,,
ZAP,,,,
ZHE,,,,
ZHI,,,,
ZIM,南ローデシア,,,
ZPR,,,,
